,Bold: ABA All-Time Team ,,HOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%
67-70,First Name,Last Name,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
12 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wendell,Ladner,F,MEM,MS,70,5,Southern Mississippi,12,8,2,0,,,,,,,,,,,,,,,,,,
9,Gerald,Govan,FC,MEM uta,NJ,67,9,St. Mary of the Plains,8,11,3,0,,,,,,,,,,,,,,,,,,
10,Al,Cueto,CF,MEM,Cuba,69,2,Tulsa,5,5,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,135,65,29,1,,,122,,,,,,,,,,,,,,,
,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,121.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAMPA,ORANGEMEN,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Charlie ""Great""",Scott,GF,Pho Bos Vir,Nyc,70,2,North Carolina,31,5,5,1,,,,,,,,,,,,,,,,,,
2,Mack,Calvin,G,FLO Den Car,CA / TX,69,7,USC,20,3,6,1,,,,,,,,,,,,,,,,,,
3,"Mike ""Bird Man""",Barrett,G,DC,WV,69,3,W. Virginia Tech,13,3,4,1,,,,,,,,,,,,,,,,,,
4,Ron,Franz,F,no flo,KC,67,6,Kansas,12,5,2,0,,,,,,,,,,,,,,,,,,
5,Randy,Mahaffey,F,CAR Ken,GA,67,4,Clemson,12,8,1,0,,,,,,,,,,,,,,,,,,
6,Lonnie,Wright,G,DEN Flo,NJ,67,5,Colorado State,11,3,2,1,,,,,,,,,,,,,,,,,,
7,"Ira ""Large""",Harge,C,WAS Flo,MS,67,6,New Mexico,10,12,2,0,,,,,,,,,,,,,,,,,,
8,Gene,Littles,G,CAR ,DC,69,6,High Point,9,3,3,0,,,,,,,,,,,,,,,,,,
9,Lee,Davis,F/C,MEM,NC,68,8,NC Central,8,5,1,0,,,,,,,,,,,,,,,,,,
10,Craig,Raymond,C,flo mem la,WA,69,4,Brigham Young,8,7,2,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,134,54,28,4,,,121,,,,,,,,,,,,,,,
,,,,,,,,,13.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,120.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRESNO,MAVERICKS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Spencer ""Woody""",Haywood,FC,Sea Nyk Was Den,MS,69,1,Detroit,30,20,2,0,,,,,,,,,,,,,,,,,,
2,"""Wondrous"" Willie",Wise,F,UT,SF,69,7,Drake,19,9,3,0,,,,,,,,,,,,,,,,,,
3,Stew,Johnson,F,SD PIT Car,PA,67,9,Murray State,17,7,2,1,,,,,,,,,,,,,,,,,,
4,"Larry ""Mills""",Miller,GF,CAR La,PA,68,7,North Carolina,14,5,2,0,,,,,,,,,,,,,,,,,,
5,"George ""Rocky""",Stone,F,LAS,KY,68,4,Marshall,14,6,1,1,,,,,,,,,,,,,,,,,,
6,"Warren ""Checkmate""",Davis,FC,ANA Mem,NJ,67,6,North Carolina A&T,12,9,2,0,,,,,,,,,,,,,,,,,,
7,Merv,Jackson,G,LAS,GA,68,5,Utah,12,2,3,1,,,,,,,,,,,,,,,,,,
8,"Willis ""Lefty""",Thomas,G,ana,,67,1,Harbor College (Los A),9,2,1,0,,,,,,,,,,,,,,,,,,
9,Sam,Robinson,F,flo,Los A,70,2,Cal St Long Beach,9,4,1,0,,,,,,,,,,,,,,,,,,
10,Ken,Wilburn,F,den,MI,68,2,Central State (OH),4,4,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,140,68,18,3,,,126,,,,,,,,,,,,,,,
,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINNESOTA,LOONS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Connie ""The Man""",Hawkins,FC,PHO min lal,Bkn,67,2,Iowa,28,13,4,0,,,,,,,,,,,,,,,,,,
2,George,Mikan,C,MIN,IL,0,0,DePaul,23,13,3,0,,,,,,,,,,,,,,,,,,
3,Walt,Simon,F,KEN Njn,LA,67,7,Benedict (SC),12,5,3,0,,,,,,,,,,,,,,,,,,
4,"Jim ""Jimbo""",Eakins,C,VIR Uta,CA,68,8,Brigham Young,12,8,2,0,,,,,,,,,,,,,,,,,,
5,"Mike ""Iron""",Lewis,CF,MIN,MT,68,6,Duke,12,12,3,0,,,,,,,,,,,,,,,,,,
6,Mel,Peterson,GF,oak,MN,67,3,Wheaton,8,5,1,0,,,,,,,,,,,,,,,,,,
7,Arvesta,Kelly,G,PITT,MS,67,5,Lincoln (MO),8,3,2,0,,,,,,,,,,,,,,,,,,
8,Jim,Shoulak,F,MIN OH,WI,0,0,Creighton,6,3,1,0,,,,,,,,,,,,,,,,,,
9,Terry,Kunze,G,mn,MN,67,1,Minnesota,5,2,1,0,,,,,,,,,,,,,,,,,,
10,John,Clawson,F,OAK min,MN,68,1,Michigan,5,3,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,119,67,21,0,,,107,,,,,,,,,,,,,,,
,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,107.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GATEWAY,CAPTAINS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"Zelmo ""Big Z""",Beaty,C,STL Uta,TX,70,4,Prairie View A&M,19,12,2,0,,,,,,,,,,,,,,,,,,
2,"Dave ""Chico""",Vaughn,G,STL Pit,OR,67,3,Southern Illinois,18,3,2,1,,,,,,,,,,,,,,,,,,
3,"Joe ""Jumpin""",Caldwell,FG,Atl Stl,TX/IN,70,5,Arizona State,17,6,4,0,,,,,,,,,,,,,,,,,,
4,"Warren ""Batman""",Jabali,GF,DEN Was,KC,68,7,Wichita State,17,7,5,1,,,,,,,,,,,,,,,,,,
5,"Cliff ""L'il Abner""",Hagan,FG,STL dal,KY,67,3,Kentucky,15,5,4,0,,,,,,,,,,,,,,,,,,
6,Gene,Moore,CF,KEN Sd Tex,StL,68,7,St. Louis,12,9,1,0,,,,,,,,,,,,,,,,,,
7,Neil,Johnson,FC,VIR Pho,MI,70,3,Tulsa / Creighton,10,7,2,0,,,,,,,,,,,,,,,,,,
8,"Roland ""Fatty""",Taylor,G,VIR den,DC,69,7,LaSalle,9,4,4,0,,,,,,,,,,,,,,,,,,
9,John,Barnhill,G,stl ind,KY,69,3,Tennessee State,8,2,3,1,,,,,,,,,,,,,,,,,,
10,George,Tinsley,F,ken flo,KY,69,2,Kentucky Wesleyan,5,3,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,130,58,28,3,,,117,,,,,,,,,,,,,,,
,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,✯,TEXANS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,Bob,Verga,G,HOU Pit,NJ,67,5,Duke,21,4,3,1,,,,,,,,,,,,,,,,,,
2,Ron,Boone (6),GF,UTA Dal kc,OKC/OMA,68,8,Idaho State,18,5,4,0,,,,,,,,,,,,,,,,,,
3,Glen,Combs,G,UTA Dal,KY,68,7,Virginia Tech,17,3,4,1,,,,,,,,,,,,,,,,,,
4,"Rich ""House""",Jones,F,SAN Nyn,Memphis,69,7,Illinois/Memphis,16,7,3,0,,,,,,,,,,,,,,,,,,
5,John,Beasley,FC,DAL uta,TX,67,7,Texas A&M,14,8,1,0,,,,,,,,,,,,,,,,,,
6,"Joe ""Little""",Hamilton,G,TEX,KY,70,6,North Texas State,12,3,4,1,,,,,,,,,,,,,,,,,,
7,Bob,Bedell,F,DAL,Los A,67,4,Stanford,6,2,1,0,,,,,,,,,,,,,,,,,,
8,"Elton ""Mac""",McGriff,C,dal,TX,68,2,SF / Creighton,6,5,1,0,,,,,,,,,,,,,,,,,,
9,Coby,Dietrick,CF,SAN chi,CA,70,6,San Jose State,6,5,2,0,,,,,,,,,,,,,,,,,,
10,Vann,Williford,F,car,NC,70,1,NC St,4,2,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,120,44,24,3,,,108,,,,,,,,,,,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TUCSON,TOROS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,Ralph,Simpson,GF,DEN Det,MI,70,6,Michigan State,20,5,4,0,,,,,,,,,,,,,,,,,,
2,"Wayne ""Spain""",Hightower,FC,SFW Den Bal,PA,67,5,Kansas,15,8,3,0,,,,,,,,,,,,,,,,,,
3,Byron,Beck,CF,DEN,WA,67,9,Denver,12,7,2,0,,,,,,,,,,,,,,,,,,
4,Chuck,Williams,G,DEN Sd Buf,CO,70,6,Colorado,12,3,5,0,,,,,,,,,,,,,,,,,,
5,Larry,Brown,G,OAK Den,Bkn,67,5,North Carolina  ,11,3,7,0,,,,,,,,,,,,,,,,,,
6,Julian,Hammond,F,DEN,Chi,67,5,Tulsa,11,6,1,0,,,,,,,,,,,,,,,,,,
7,Simmie,Hill,F,DAL Sd,PA,69,4,(three),10,5,1,0,,,,,,,,,,,,,,,,,,
8,"Tom ""Hawk""",Workman,FC,la bal den,WA,69,2,Seattle,8,3,1,0,,,,,,,,,,,,,,,,,,
9,Julius,Keye,FC,DEN,GA,69,6,Alcorn A&M (MS),7,11,2,0,,,,,,,,,,,,,,,,,,
10,Dan,Hester,F,den,IL,70,1,LSU,6,6,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,112,57,27,0,,,101,,,,,,,,,,,,,,,
,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WISCONSIN,FLYERS,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
1,"George ""Tipper""",Thompson,G,PIT Mem,Bkn,69,6,Marquette,20,4,4,1,,,,,,,,,,,,,,,,,,
2,"Steve ""Snapper""",Jones,G,NO Car,LA,67,8,Oregon,16,4,2,1,,,,,,,,,,,,,,,,,,
3,"Charlie ""Sweet""",Williams,G,PIT Mem,CO,67,6,Seattle,16,3,3,1,,,,,,,,,,,,,,,,,,
4,Skeeter,Swift,G,PIT,VA,69,5,East Tennessee State,12,2,3,1,,,,,,,,,,,,,,,,,,
5,"Tom ""Trooper""",Washington,FC,PIT Nyn,Philly,67,6,Cheyney State,11,10,2,0,,,,,,,,,,,,,,,,,,
6,Ray,Scott,FC,Bal Vir,Philly,70,2,Portland,11,7,1,0,,,,,,,,,,,,,,,,,,
7,"George ""Hawkeye""",Irvine,F,VIR,WA,70,6,Washington,10,3,1,0,,,,,,,,,,,,,,,,,,
8,Jeff,Congdon,G,DEN ana,"Elk, WIS",67,5,Brigham Young,7,2,3,1,,,,,,,,,,,,,,,,,,
9,Craig,Dill,C,pitt,MI,67,1,Michigan,7,6,1,0,,,,,,,,,,,,,,,,,,
10,Jeff,Shoulak,F,WIS,WI,0,0,Wisconsin,6,3,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,116,44,21,5,,,104,,,,,,,,,,,,,,,
,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,104.4,,,,,,,,,,,,,,,,,,,,,
