,Bold: ABA All-Time Team ,,HOF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,50%,60%,70%,80%,90%,100%,110%,120%,130%,140%,150%
67-70,First Name,Last Name,Pos,TEAM,Born,1st Yr,YRS,College,PPG,REB/G,AST/G,3-PT/G,,,,,,,,,,,,,,,,,,
12 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sonny,Dove,F,NYA,Bkn,69,3,St John's,14,7,1,0,,,,,,,,,,,,,,,,,,
48,Art,Becker,F,HOU in den,Akron,67,6,Arizona State,13,6,1,0,,,,,,,,,,,,,,,,,,
49,Steve,Chubin,G,ana ind,Nyc,67,3,Rhode Island,13,4,4,0,,,,,,,,,,,,,,,,,,
50,"Les ""Big Game""",Hunter,FC,KEN Mem,Nash,67,6,Loyola (IL),13,7,2,1,,,,,,,,,,,,,,,,,,
51,"Jim ""Goose""",Ligon,FC,KEN,IN,67,7,none,13,11,2,0,,,,,,,,,,,,,,,,,,
52,Red,Robbins,FC,NO Uta Sd,FL,67,8,Tennessee,13,11,2,0,,,,,,,,,,,,,,,,,,
53,"Mike ""Bird Man""",Barrett,G,DC,WV,69,3,W. Virginia Tech,13,3,4,1,,,,,,,,,,,,,,,,,,
54,Byron,Beck,CF,DEN,WA,67,9,Denver,12,7,2,0,,,,,,,,,,,,,,,,,,
55,"Warren ""Checkmate""",Davis,FC,ANA Mem,NJ,67,6,North Carolina A&T,12,9,2,0,,,,,,,,,,,,,,,,,,
56,Ron,Franz,F,no flo,KC,67,6,Kansas,12,5,2,0,,,,,,,,,,,,,,,,,,
57,Randy,Mahaffey,F,CAR Ken,GA,67,4,Clemson,12,8,1,0,,,,,,,,,,,,,,,,,,
58,Walt,Simon,F,KEN Njn,LA,67,7,Benedict (SC),12,5,3,0,,,,,,,,,,,,,,,,,,
59,"Jim ""Jimbo""",Eakins,C,VIR Uta,CA,68,8,Brigham Young,12,8,2,0,,,,,,,,,,,,,,,,,,
60,Merv,Jackson,G,LAS,GA,68,5,Utah,12,2,3,1,,,,,,,,,,,,,,,,,,
61,"Mike ""Iron""",Lewis,CF,MIN,MT,68,6,Duke,12,12,3,0,,,,,,,,,,,,,,,,,,
62,Gene,Moore,CF,KEN Sd Tex,StL,68,7,St. Louis,12,9,1,0,,,,,,,,,,,,,,,,,,
63,Wilbert,Jones (bro),F,MEM Ken,AR,69,7,Albany State (GA),12,8,2,0,,,,,,,,,,,,,,,,,,
64,Billy,Keller,G,IND,IN,69,7,Purdue,12,2,4,1,,,,,,,,,,,,,,,,,,
65,"Bill ""Mel, Clops""",Melchionni,G,NYA,Philly,69,7,Villanova,12,2,6,1,,,,,,,,,,,,,,,,,,
66,Skeeter,Swift,G,PIT,VA,69,5,East Tennessee State,12,2,3,1,,,,,,,,,,,,,,,,,,
67,"Joe ""Little""",Hamilton,G,TEX,KY,70,6,North Texas State,12,3,4,1,,,,,,,,,,,,,,,,,,
68,Wendell,Ladner,F,MEM,MS,70,5,Southern Mississippi,12,8,2,0,,,,,,,,,,,,,,,,,,
69,"Rick ""The Rocket""",Mount,G,IND Ken,IN,70,5,Purdue,12,2,2,1,,,,,,,,,,,,,,,,,,
70,Chuck,Williams,G,DEN Sd Buf,CO,70,6,Colorado,12,3,5,0,,,,,,,,,,,,,,,,,,
71,Larry,Brown,G,OAK Den,Bkn,67,5,North Carolina  ,11,3,7,0,,,,,,,,,,,,,,,,,,
72,Julian,Hammond,F,DEN,Chi,67,5,Tulsa,11,6,1,0,,,,,,,,,,,,,,,,,,
73,"Tom ""Trooper""",Washington,FC,PIT Nyn,Philly,67,6,Cheyney State,11,10,2,0,,,,,,,,,,,,,,,,,,
74,Lonnie,Wright,G,DEN Flo,NJ,67,5,Colorado State,11,3,2,1,,,,,,,,,,,,,,,,,,
75,Ray,Scott,FC,Bal Vir,Philly,70,2,Portland,11,7,1,0,,,,,,,,,,,,,,,,,,
